ln_a,Q,H,Q_prime,H_prime,D_s,Xi_s,W_s,scaled_constraint_residual
2.158673524681917893e-02,1.152328993307602190e+00,1.224817521473680060e+00,-6.680264057263614330e-02,-5.242438505226505452e-01,2.403550954658377847e+01,2.491787863785473434e+01,1.565830961230050056e+00,3.939472478379417250e-16
2.187455838344343553e-02,1.152309768101435150e+00,1.224666686910681701e+00,-6.678777707845238998e-02,-5.238620860086059539e-01,2.401740424388219708e+01,2.489979961718958990e+01,1.565530875227276519e+00,1.355325256908128255e-14
2.216238152006769213e-02,1.152290547171238577e+00,1.224515962191839780e+00,-6.677292808863388718e-02,-5.234805751304639765e-01,2.399930897190104773e+01,2.488173059998572256e+01,1.565231019919252731e+00,1.607652739534821013e-14
2.245020465669194526e-02,1.152271330512834702e+00,1.224365347244167124e+00,-6.675809360176117313e-02,-5.230993177681045880e-01,2.398122372539071279e+01,2.486367158102147101e+01,1.564931395147755255e+00,1.339855508786932124e-14
2.273802779331620186e-02,1.152252118122052860e+00,1.224214841994715197e+00,-6.674327361644075141e-02,-5.227183138014296349e-01,2.396314849909785494e+01,2.484562255507141515e+01,1.564632000754648145e+00,2.479000626067651110e-14
2.302585092994045846e-02,1.152232909994728383e+00,1.224064446370571657e+00,-6.672846813124957976e-02,-5.223375631103419625e-01,2.394508328778622186e+01,2.482758351692718080e+01,1.564332836581890041e+00,4.095325777229050851e-14
2.331367406656471505e-02,1.152213706126662629e+00,1.223914160298845033e+00,-6.671367714486368949e-02,-5.219570655747866050e-01,2.392702808618850341e+01,2.480955446134935727e+01,1.564033902471499982e+00,2.692405704562290475e-14
2.360149720318897165e-02,1.152194506513706918e+00,1.223763983706698477e+00,-6.669890065585501460e-02,-5.215768210746892786e-01,2.390898288908237745e+01,2.479153538314342597e+01,1.563735198265618020e+00,2.913473701523819608e-14
2.388932033981322478e-02,1.152175311151679482e+00,1.223613916521315570e+00,-6.668413866287524472e-02,-5.211968294900111154e-01,2.389094769122168316e+01,2.477352627709104027e+01,1.563436723806447937e+00,2.046354457451278568e-14
2.417714347643748138e-02,1.152156120036410769e+00,1.223463958669920304e+00,-6.666939116458375780e-02,-5.208170907007295680e-01,2.387292248736345002e+01,2.475552713797700832e+01,1.563138478936285214e+00,1.214537797901330355e-14
2.446496661306173798e-02,1.152136933163732557e+00,1.223314110079770423e+00,-6.665465815963206309e-02,-5.204376045868304157e-01,2.385490727227364260e+01,2.473753796059503784e+01,1.562840463497512822e+00,3.024840448347242746e-14
2.475278974968599111e-02,1.152117750529455531e+00,1.223164370678150981e+00,-6.663993964673090020e-02,-5.200583710283289696e-01,2.383690204070219210e+01,2.471955873972280315e+01,1.562542677332588559e+00,2.938394784015413646e-14
2.504061288631024770e-02,1.152098572129428344e+00,1.223014740392394772e+00,-6.662523562451612424e-02,-5.196793899052307708e-01,2.381890678743301848e+01,2.470158947017188922e+01,1.562245120284077693e+00,2.007790487965002958e-14
2.532843602293450430e-02,1.152079397959473450e+00,1.222865219149860350e+00,-6.661054609171539187e-02,-5.193006610975821058e-01,2.380092150722179056e+01,2.468363014672564404e+01,1.561947792194613882e+00,3.266462373071863531e-14
2.561625915955876090e-02,1.152060228015427734e+00,1.222715806877944900e+00,-6.659587104700274984e-02,-5.189221844854235988e-01,2.378294619485028250e+01,2.466568076419346056e+01,1.561650692906928928e+00,3.385176353234205724e-14
2.590408229618301750e-02,1.152041062293107432e+00,1.222566503504073143e+00,-6.658121048914827922e-02,-5.185439599488390616e-01,2.376498084507047182e+01,2.464774131735494223e+01,1.561353822263822577e+00,2.304376936741697934e-14
2.619190543280727063e-02,1.152021900788351205e+00,1.222417308955711990e+00,-6.656656441685614156e-02,-5.181659873679034245e-01,2.374702545266499598e+01,2.462981180102029910e+01,1.561057180108198272e+00,2.300678131375496692e-14
2.647972856943152722e-02,1.152002743496988169e+00,1.222268223160359213e+00,-6.655193282887097994e-02,-5.177882666227162645e-01,2.372908001240744369e+01,2.461189220999067118e+01,1.560760766283038059e+00,2.462739696466998393e-14
