index,Q_exact,Q_approx,a_approx,H_over_sqrt_kappa_approx,Qdot_over_sqrt_kappa_approx,sqrt_kappa_dNT_dH_approx
76,101/100 + 76/20000,1.0138,4.168948389565556885747680884386247075233349608217125856496472121595988992183530309234,-0.06806013964660194857229673439997413003489999200435758022313869693128337211881923852114,0.002817153180527356697464519925088824957009252429905043193134225499270566830456123326234,0.3917988466333982562523966451541039872795785352481004304891971793727749585496878993219
77,101/100 + 77/20000,1.01385,4.163924595695725427697585831391064980002867760570898913623287710285410584606035795239,-0.06818419565805922706843905802048160257022974350854343927563632893315339824366461784831,0.002832509886220045154047838714443354176064760733743803239207956738522206995597392434549,0.3924541106932861086580751357258280581763857164421173964005421812096055127857209760843
78,101/100 + 78/20000,1.0139,4.158924919955108714287043439693395236206146829111733805710006863763340771803035809253,-0.06830803272714428162480248923848486573284159104028446648813467277477892225014168716699,0.00284789461667028262225884503993578038959962064147719819936939966145299287084772484506,0.3931079092539972673523770740864042626791961403060896993238467739153164855581321107686
79,101/100 + 79/20000,1.01395,4.153949160383317933632371639821416967844416586452883301177093946999046260890137210951,-0.06843165204343440935431954785480551068538077016586316321689961336928852952106852742685,0.002863307322799510186169822327087002913247081828137371810763945305316327292217600594374,0.3937602497736868295101346390305716323088163313057972041476506521883725358885940371526
80,101/100 + 80/20000,1.014,4.148997117427144126289006349966895378034174902868776369455973392415288154527864459813,-0.06855505478584427712923641024118424374242687084686464883655551696761104362943454604972,0.002878747955794462569338601356000632808487440917567503861346109187623986458325093428905,0.3944111396448784640044625317739600135035371694281813351990718237418873376784628208334
81,101/100 + 81/20000,1.01405,4.144068593903392480851625176423250780680981193190349915088184891682165882007723125326,-0.06867824212275916277691200842077202492636822429950899192017594997059356133413885903414,0.0028942164671047883207955337308744536875436509241711084962631937164960830557089962004,0.3950605861952784539510417668774777753797611882305465940652163393950752917078746549268
82,101/100 + 82/20000,1.0141,4.139163394962420362671744359985130819209439805510244472010303978227807037179273021289,-0.06880121521216606371113935435566363224731994688973636388999004900421338017280156667159,0.002909712808440699704885347477928402930773077860029327611567418887492747061202162127267,0.3957085966885767628831866801030384847377135264621066985895277520161429178221212256891
83,101/100 + 83/20000,1.01415,4.134281328052363307998544117814571507108720523441575449481330601868563153215534580392,-0.06892397520178271456371963606977484530464981930249371389891109505575282644739361737182,0.002925236931770651820245290677799282161213612594344355443911834740467027452727905786684,0.3963551783252353768284027516730061091920360785691234071386813162594447193677310440449
84,101/100 + 84/20000,1.0142,4.129422202884033623476639703399771075903099927362256675498437413338717786713141227653,-0.06904652322918455442704728043631736842434897967116913873544022312923864278352645991748,0.002940788789319050482438785212526602068021663481967891202507018941808756368213172118753,0.3970003382432641687773423359971828847188104049608354371679172807848154203561865467808
85,101/100 + 85/20000,1.01425,4.124585831396476626629495098145541309757588383840432195669023687872843046687557036365,-0.06916886042192968338966558749862751439881917281028000465210723362378763969381024678906,0.002956368333563988413789954693418874678427298050808052033960324657967711123268615434559,0.3976440835189845264085879396276450102174925764990556622854218282842605676600971435351
86,101/100 + 86/20000,1.0143,4.119772027723169947109051838129473200928339364398299286120443473889931840907772214233,-0.06929098789768184714237750303375691957068200514864318985456104101616783828117818796115,0.002971975517235009292784434869275130349920736944934103749391843550459399966944914195857,0.3982864211677809784530033409199975891683988710337379431755641937469333443048846943078
87,101/100 + 87/20000,1.01435,4.114980608158851681476741776185016282655840294365890937441142625563476779316923990262,-0.06941290676433148755181929946664190733683881952074015996890870458333250435805892621789,0.002987610293310899224021231823646589348441469483610324585210318675515387199182022427324,0.3989273581448410497451070409901359208652624316729902537648800129650484181175267937514
88,101/100 + 88/20000,1.0144,4.110211391126963556460694108055081353176323853827012597524566007919469713710293994823,-0.06953461812011489624072505951101268333856967404101296086050326981268545779526192724133,0.003003272615017505198124313175347451125137471811683044869038974988921186691433287274654,0.3995669013458835698118006252832145255124252729033419814155610598746982803588865804202
89,101/100 + 89/20000,1.01445,4.10546419714769560735798812972378716458339654070543664148183135288163387495246883688,-0.06965612305373150737874869699786017083664846301912578612193837575220371821337855482688,0.003018962435825580119256195306429446177246490350627277292017704515123606155493548358649,0.4002050576078756547867265780082820545411559742679332251916248946854251731591753748232
90,101/100 + 90/20000,1.0145,4.100738848806619219856135638388241138404693120306928985035812134609859448837840516582,-0.06977742264445936507401187665995343260909184817878780059012652887909820003068355921504,0.003034679709448653985923970356335526966895031717870307154794781782773459579084529197857,0.4008418337097385775075704719567334299271680915028855760404748624032649675923780046928
91,101/100 + 91/20000,1.01455,4.096035170723895715359515592727833367175277824611946701335600843319330257269777976923,-0.06989851796226879996287615111574761914859472638727606635243689335816867761241676784979,0.0030504243898409308186358002507895275407271963521831002453896463590117474939817785245,0.401477236373042735849925497241921602753143338888897741655697873892592010467850169771
